id,kayit_zamani,anlik_fiyat,spot_cvd,vadeli_cvd,open_interest,funding_rate,order_book_depth_bid_1pct,liquidation_pool_volume,guven_skoru,sinyal_durumu,is_win,agg_long_liq,agg_short_liq,long_short_ratio,en_olgun_emir_yasi_sn,order_book_depth_ask_1pct,en_olgun_ask_yasi_sn,long_skor,short_skor,yakin_likidite_bid,yakin_likidite_ask,emilim_borsasi,spot_egilim,perp_egilim,emilim_spot_pay,emilim_esnekligi,satici_tukenmesi,sonme_orani,alici_tukenmesi,alici_sonme_orani,spot_bid_agir_sayi,spot_ask_agir_sayi,spot_borsa_sayisi,perp_bid_agir_sayi,perp_ask_agir_sayi,perp_borsa_sayisi,spot_ob_yasi_sn,perp_ob_yasi_sn,swing_kademe,swing_yon,swing_skor,swing_seviye,swing_kisa_hedef,swing_uzun_hedef,swing_stop,swing_rr,swing_tetik,seviye_guc,seviye_yasi_dk,seviye_yenileme_sayisi,delme_min_belirleyen,delme_atr_kati,lik_yog_yon,lik_yog_ters,lik_iki_tarafli,mum_ici_konum,lik_pencere_damgasi,lik_borsa_sayisi,lik_donma_sayaci,swing_rr_kisa,harita_seviye_sayisi,harita_medyan_yas_dk,harita_grab_uygun,golge_yon,golge_kapi,golge_skor
29839,2026-07-28 14:33:35.125985+00,63160.05,478128.07528158906,2433321.222,11772388401.6064,0.000009425999999999998,50826816.16041997,126.2822,59.1,BEKLE,false,126.2822,0.0,1.8727,242.937,50287185.48627998,545.433,0.0,59.1,"[{""usdt"": 14570166.0, ""borsa"": 3, ""fiyat"": 63125.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 12667191.0, ""borsa"": 3, ""fiyat"": 63150.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 10061147.0, ""borsa"": 1, ""fiyat"": 63100.0, ""kaynak"": ""BNB""}]","[{""usdt"": 12006180.0, ""borsa"": 3, ""fiyat"": 63175.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 11324900.0, ""borsa"": 1, ""fiyat"": 63250.0, ""kaynak"": ""BNB""}, {""usdt"": 9336125.0, ""borsa"": 1, ""fiyat"": 63275.0, ""kaynak"": ""BNB""}]",YOK,0.0492,0.0053,0.4434,0.2345,false,,false,0.4067,0,0,3,0,1,3,53,54.1,IZLE,,25,63187.7,,,,,SEVIYE,100,531.9,54,,,,,,,1785248880,1,0,,27,531.9,25,,,
29840,2026-07-28 14:34:35.511018+00,63142.45,857034.1275130895,2428351.6119999997,11768615622.931002,0.000009425999999999998,49419001.12018998,0.0,76.5,BEKLE,false,0.0,0.0,1.8727,303.261,50284170.379190035,605.757,0.0,76.5,"[{""usdt"": 17947322.0, ""borsa"": 3, ""fiyat"": 63125.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 10688518.0, ""borsa"": 1, ""fiyat"": 63100.0, ""kaynak"": ""BNB""}, {""usdt"": 7842434.0, ""borsa"": 1, ""fiyat"": 63050.0, ""kaynak"": ""BNB""}]","[{""usdt"": 11421766.0, ""borsa"": 1, ""fiyat"": 63225.0, ""kaynak"": ""BNB""}, {""usdt"": 10928823.0, ""borsa"": 1, ""fiyat"": 63250.0, ""kaynak"": ""BNB""}, {""usdt"": 10569444.0, ""borsa"": 3, ""fiyat"": 63175.0, ""kaynak"": ""BNB+BYB+OKX""}]",YOK,0.0239,-0.0087,0.4725,0.2542,false,,false,0.4394,1,0,3,0,1,3,49.5,50.6,IZLE,,25,63132,,,,,SEVIYE,100,532.9,54,,,,,,,,,0,,27,532.9,25,,,
29841,2026-07-28 14:35:35.976712+00,63172.55,862130.2041347902,2407208.931,11766084106.1534,0.000009425999999999998,47672160.50084996,0.0,34.5,BEKLE,false,0.0,0.0,1.8727,0,47728184.83478003,666.13,0.0,34.5,"[{""usdt"": 14364922.0, ""borsa"": 3, ""fiyat"": 63100.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 9760220.0, ""borsa"": 1, ""fiyat"": 63050.0, ""kaynak"": ""BNB""}, {""usdt"": 8556175.0, ""borsa"": 3, ""fiyat"": 63125.0, ""kaynak"": ""BNB+BYB+OKX""}]","[{""usdt"": 13500835.0, ""borsa"": 3, ""fiyat"": 63150.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 10879262.0, ""borsa"": 1, ""fiyat"": 63225.0, ""kaynak"": ""BNB""}, {""usdt"": 7608537.0, ""borsa"": 1, ""fiyat"": 63200.0, ""kaynak"": ""BNB""}]",YOK,-0.0493,-0.0006,0.684,0.3807,false,,false,0.9415,0,1,3,0,1,3,46,47.1,IZLE,,25,63187.7,,,,,SEVIYE,100,533.9,54,,,,,,,,,0,,27,533.9,25,,,
29842,2026-07-28 14:36:36.5164+00,63289.25,-491719.23898890254,-749355.9500000001,11774271553.7608,0.000009425999999999998,45988339.69686996,0.0,62.2,BEKLE,,0.0,0.0,1.8769,60.635,54584290.13570005,726.765,62.2,0.0,"[{""usdt"": 13589590.0, ""borsa"": 3, ""fiyat"": 63175.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 9771610.0, ""borsa"": 1, ""fiyat"": 63100.0, ""kaynak"": ""BNB""}, {""usdt"": 6971587.0, ""borsa"": 1, ""fiyat"": 63075.0, ""kaynak"": ""BNB""}]","[{""usdt"": 14045195.0, ""borsa"": 3, ""fiyat"": 63225.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 13252812.0, ""borsa"": 1, ""fiyat"": 63275.0, ""kaynak"": ""BNB""}, {""usdt"": 10136274.0, ""borsa"": 3, ""fiyat"": 63200.0, ""kaynak"": ""BNB+BYB+OKX""}]",YOK,0.0735,-0.0855,0.2016,1.167,false,,false,0.8605,0,0,3,1,0,3,42.8,43.9,IZLE,,25,63264.7,,,,,SEVIYE,75,534.9,54,,,,,,,,,0,,27,534.9,25,,,
29843,2026-07-28 14:37:36.835003+00,63286.45,2484535.938414901,116770.20199999999,11787543416.381401,0.000009425999999999998,43065971.55262001,1184191.1431,49.0,BEKLE,true,0.0,1184191.1431,1.8769,0,43424405.06939001,0,49.0,0.0,"[{""usdt"": 9879748.0, ""borsa"": 3, ""fiyat"": 63275.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 9721227.0, ""borsa"": 3, ""fiyat"": 63300.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 8343034.0, ""borsa"": 1, ""fiyat"": 63225.0, ""kaynak"": ""BNB""}]","[{""usdt"": 10819624.0, ""borsa"": 3, ""fiyat"": 63325.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 8950532.0, ""borsa"": 1, ""fiyat"": 63375.0, ""kaynak"": ""BNB""}, {""usdt"": 8669071.0, ""borsa"": 1, ""fiyat"": 63400.0, ""kaynak"": ""BNB""}]",SPOT,0.181,-0.0041,0.263,1.6924,false,,false,1.0478,3,0,3,0,0,3,39.3,40.3,IZLE,,25,63264.7,,,,,SEVIYE,75,535.9,54,,,,,,,1785249360,2,0,,27,535.9,25,,,
29844,2026-07-28 14:38:37.161155+00,63269.95,1611839.7286973046,-1368303.915,11781751305.3314,0.000009425999999999998,50468518.35986,1184354.8392,60.7,BEKLE,true,0.0,1184354.8392,1.8769,60.346,50158812.13101999,60.346,60.7,0.0,"[{""usdt"": 11845459.0, ""borsa"": 3, ""fiyat"": 63275.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 10702757.0, ""borsa"": 1, ""fiyat"": 63225.0, ""kaynak"": ""BNB""}, {""usdt"": 10422349.0, ""borsa"": 1, ""fiyat"": 63250.0, ""kaynak"": ""BNB""}]","[{""usdt"": 13877545.0, ""borsa"": 3, ""fiyat"": 63325.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 10896147.0, ""borsa"": 1, ""fiyat"": 63375.0, ""kaynak"": ""BNB""}, {""usdt"": 10116337.0, ""borsa"": 3, ""fiyat"": 63300.0, ""kaynak"": ""BNB+BYB+OKX""}]",YOK,0.1042,0.0031,0.1335,1.0928,false,,false,0.773,1,0,3,0,1,3,35.6,36.8,IZLE,,25,63264.7,,,,,SEVIYE,75,537.0,54,,,,,,,1785249360,2,0,,27,537.0,25,,,
29845,2026-07-28 14:39:37.497484+00,63184.350000000006,1345367.819560504,-877402.0880000001,11784911913.5732,0.000009425999999999998,52372310.02751003,1184354.8392,68.3,BEKLE,true,0.0,1184354.8392,1.8769,0,43102585.561679974,0,68.3,0.0,"[{""usdt"": 15806104.0, ""borsa"": 3, ""fiyat"": 63200.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 8721462.0, ""borsa"": 1, ""fiyat"": 63150.0, ""kaynak"": ""BNB""}, {""usdt"": 8647600.0, ""borsa"": 1, ""fiyat"": 63175.0, ""kaynak"": ""BNB""}]","[{""usdt"": 13985739.0, ""borsa"": 3, ""fiyat"": 63250.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 8215196.0, ""borsa"": 1, ""fiyat"": 63300.0, ""kaynak"": ""BNB""}, {""usdt"": 6549887.0, ""borsa"": 1, ""fiyat"": 63275.0, ""kaynak"": ""BNB""}]",YOK,-0.0194,0.0971,0.0709,0.5139,false,,false,0.137,1,1,3,0,0,3,32.1,33.2,IZLE,,25,63187.7,,,,,SEVIYE,100,538.0,54,,,,,,,1785249360,2,1,,27,538.0,25,,,
29846,2026-07-28 14:40:37.817568+00,63249.350000000006,838835.3485942073,-1004951.7829999999,11772812553.8494,0.000009425999999999998,43343349.09773004,1184354.8392,65.0,BEKLE,true,0.0,1184354.8392,1.8769,60.298,44831527.75982999,60.298,65.0,0.0,"[{""usdt"": 11356145.0, ""borsa"": 3, ""fiyat"": 63200.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 7441445.0, ""borsa"": 1, ""fiyat"": 63150.0, ""kaynak"": ""BNB""}, {""usdt"": 7153536.0, ""borsa"": 1, ""fiyat"": 63125.0, ""kaynak"": ""BNB""}]","[{""usdt"": 13782710.0, ""borsa"": 3, ""fiyat"": 63250.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 7816498.0, ""borsa"": 1, ""fiyat"": 63325.0, ""kaynak"": ""BNB""}, {""usdt"": 7662933.0, ""borsa"": 1, ""fiyat"": 63300.0, ""kaynak"": ""BNB""}]",YOK,-0.0461,-0.0169,0.0035,0.9783,false,,false,0.1599,0,1,3,0,0,3,28.5,29.6,IZLE,,25,63264.7,,,,,SEVIYE,75,539.0,54,,,,,,,1785249360,2,2,,27,539.0,25,,,
29847,2026-07-28 14:41:38.087996+00,63327.25,1382790.2403711115,-2081508.2370000002,11785251164.181,0.000009425999999999998,45300340.27649999,1184354.8392,38.2,BEKLE,true,0.0,1184354.8392,1.8769,60.324,41605108.999089986,60.324,38.2,0.0,"[{""usdt"": 10903186.0, ""borsa"": 3, ""fiyat"": 63275.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 7416131.0, ""borsa"": 1, ""fiyat"": 63225.0, ""kaynak"": ""BNB""}, {""usdt"": 7409333.0, ""borsa"": 1, ""fiyat"": 63175.0, ""kaynak"": ""BNB""}]","[{""usdt"": 10326881.0, ""borsa"": 3, ""fiyat"": 63325.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 8759059.0, ""borsa"": 1, ""fiyat"": 63375.0, ""kaynak"": ""BNB""}, {""usdt"": 8067020.0, ""borsa"": 1, ""fiyat"": 63350.0, ""kaynak"": ""BNB""}]",YOK,0.0711,0.0425,0.421,0.7191,false,,false,0.2183,0,0,3,1,0,3,25,26.1,IZLE,,25,63329.1,,,,,SEVIYE,55,540.0,54,,,,,,,1785249360,2,3,,27,540.0,25,,,
29848,2026-07-28 14:42:38.379164+00,63333.45,2033466.3131467127,-1179549.4600000002,11801573589.051998,0.000009425999999999998,47453990.995810024,126.7598,63.5,BEKLE,true,0.0,126.7598,1.8877,0,44183496.00729001,0,63.5,0.0,"[{""usdt"": 12756002.0, ""borsa"": 3, ""fiyat"": 63325.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 7906539.0, ""borsa"": 1, ""fiyat"": 63300.0, ""kaynak"": ""BNB""}, {""usdt"": 7452137.0, ""borsa"": 3, ""fiyat"": 63350.0, ""kaynak"": ""BNB+BYB+OKX""}]","[{""usdt"": 11908540.0, ""borsa"": 3, ""fiyat"": 63375.0, ""kaynak"": ""BNB+BYB+OKX""}, {""usdt"": 11414939.0, ""borsa"": 1, ""fiyat"": 63450.0, ""kaynak"": ""BNB""}, {""usdt"": 8109140.0, ""borsa"": 1, ""fiyat"": 63425.0, ""kaynak"": ""BNB""}]",SPOT,0.1896,0.0357,0.1542,1.3497,false,,false,0.2655,2,0,3,0,0,3,21.3,22.5,IZLE,,25,63329.1,,,,,SEVIYE,55,541.0,55,,,,,,,1785249660,1,0,,25,541.0,23,,,
